"AVERAGE_NUMBER_OF_CHECKLISTS_REQUIRED","CITY_ID","CITY_NAME","MAX_NUMBER_OF_CHECKLISTS_REQUIRED","MIN_NUMBER_OF_CHECKLISTS_REQUIRED","NUMBER_OF_ATTEMPTS","TOTAL_CHECKLISTS_IN_CITY","TOTAL_PIGEONS_IN_CITY"
"804.49","274","Austin","3775","23","100","48993","6"
"24.18","1812","Bournemouth","82","3","100","1008","4"
"5856.54","155","Mexico City","12504","481","100","12579","7"
"236.32","399","Baton Rouge","1042","9","100","10205","5"
"60967.39","950","New York","232202","4364","100","330715","5"
"10.28","1014","Providence","41","1","100","14714","2"
"171.34","711","Charlotte","672","9","100","5832","3"
"4157.89","954","Brick","13687","220","100","15277","3"
"5.57","955","Syracuse","18","1","100","8484","2"
"226.59","2907","Rome","620","28","100","1383","5"
"353.87","5734","Kuwait City","1100","20","100","1545","4"
"13.92","839","London","68","1","100","14769","2"
"2681.41","56","Indio","5167","27","100","5270","6"
"9640.57","13097","Sydney","20502","2449","100","25088","12"
"1.8","4783","Izhevsk","8","1","100","1127","1"
"4327.23","7930","Mysuru","7896","128","100","8107","4"
"536.77","3574","Istanbul","2525","24","100","3260","5"
"2144.81","289","Guatemala City","3316","739","100","3351","12"
"1308.64","1820","Pamplona","4209","109","100","10280","5"
"806.85","1027","Boston","4552","17","100","123214","3"
"1333.03","3686","Moscow","2677","167","100","2678","3"
"3.79","12445","Seoul","18","1","100","2868","2"
"7476.45","1708","Madrid","14685","390","100","14713","6"
"514.22","728","Cusco","940","53","100","1044","8"
"942.74","65","Hermosillo","1706","35","100","1717","8"
"1447.04","11000","George Town","1850","545","100","1862","10"
"11.43","172","Boise","66","1","100","16902","3"
"16.48","1040","Cordoba","60","1","100","3131","6"
"11.33","730","Grand Rapids","59","1","100","15507","2"
"8981.17","852","Virginia Beach","26610","273","100","27207","3"
"7.96","734","Columbus","40","1","100","47906","2"
"664.52","855","Newport News","2418","7","100","5032","3"
"13641.99","977","Bridgeport","38925","349","100","43810","4"
"17423.46","7932","Kochi","32288","2055","100","32751","7"
"1962.32","12333","Hong Kong","4784","231","100","5320","6"
"913.27","74","Las Vegas","3416","3","100","5370","6"
"48.52","1716","Glasgow","175","2","100","1050","4"
"15.77","1836","Newcastle upon Tyne","85","1","100","1857","4"
"103.16","1715","Granada","538","3","100","1283","4"
"2373.03","8003","Palakkad","3872","789","100","3991","5"
"17987.66","79","Phoenix","50078","1604","100","61187","9"
"33170.12","13076","Melbourne","59712","9515","100","60300","7"
"566.46","2144","Brussels","1071","14","100","1078","5"
"6.0","1053","Quebec","33","1","100","45693","2"
"1661.27","187","Vancouver","6547","65","100","54239","5"
"10.1","860","Washington D.C.","56","1","100","176705","2"
"19.04","1602","Rabat","84","1","100","1912","4"
"85.99","3228","Warsaw","383","3","100","1089","4"
"5848.82","862","Caracas","7876","2253","100","7917","13"
"145.47","501","Bradenton","541","10","100","52425","5"
"34852.84","502","Tampa","64332","198","100","64474","6"
"4880.54","624","Bogota","6098","2178","100","6100","13"
"932.9","5767","Tehran","1537","129","100","1550","5"
"4761.01","627","Louisville","16067","111","100","19851","3"
"3337.75","628","Winnipeg","13373","11","100","24473","3"
"9087.65","84","Tucson","28254","805","100","47498","8"
"1697.85","7824","Guruvayur","2416","64","100","2444","6"
"5610.58","11699","Perth","10679","113","100","10782","4"
"3531.2","508","Cape Coral","6569","80","100","6655","6"
"2642.81","2937","Prague","7330","142","100","7868","5"
"626.36","88","Guadalajara","1173","20","100","1176","8"
"147.73","192","Provo","674","6","100","2694","5"
"8435.71","193","Salt Lake City","20275","974","100","24043","6"
"2370.48","8010","Kollam","6343","120","100","8642","5"
"7038.36","196","Albuquerque","19739","431","100","32973","6"
"17.79","870","Kitchener","63","1","100","12446","2"
"874.69","992","Port of Spain","1645","205","100","1741","9"
"5522.21","994","Ottawa","17363","60","100","60631","3"
"2063.36","514","Cali","3350","532","100","3380","14"
"2909.63","759","Toledo","5346","87","100","5390","3"
"19266.26","639","Chicago","70992","3105","100","221825","6"
"821.16","7714","Thalassery","1526","136","100","1529","4"
"1729.91","4328","Tel Aviv","4451","395","100","5314","6"
"54.13","1858","Murcia","367","1","100","1530","4"
"629.51","6882","Vasai-Virar","1610","134","100","1659","6"
"3238.76","8145","Thiruvananthapuram","5314","733","100","5353","6"
"1050.87","7973","Nagpur","2009","124","100","2084","6"
"1398.88","3255","Helsinki","3063","140","100","3375","5"
"392.28","7292","Jalgaon","1024","39","100","1104","5"
"740.59","2285","Dortmund","2224","16","100","2423","5"
"1821.66","8021","Ettumanoor","3174","382","100","3231","7"
"15160.23","880","Toronto","66855","1603","100","133477","4"
"149.39","640","Joliet","614","7","100","1950","3"
"714.13","1744","Bilbao","1300","78","100","1305","6"
"13152.33","642","Madison","37462","200","100","38421","3"
"15505.43","885","Baltimore","29944","145","100","30066","3"
"886.66","402","New Orleans","3604","29","100","18205","6"
"461.07","889","La Serena","1717","18","100","2032","6"
"9924.87","6998","Delhi [New Delhi]","18593","262","100","19011","6"
"6034.17","405","Edmonton","18141","358","100","21229","3"
"6590.66","11554","Singapore","12019","228","100","12023","11"
"1968.54","12761","Kaohsiung","3798","55","100","3931","6"
"823.83","8819","Kathmandu","1191","135","100","1202","8"
"416.4","7969","Alappuzha","1098","4","100","1162","2"
"3163.67","13183","Auckland","6064","49","100","6185","4"
"21.08","2176","Amsterdam","64","1","100","1769","4"
"284.65","2054","Paris","1523","5","100","3720","5"
"6438.7","7062","Dehradun","8799","2263","100","8810","11"
"1079.29","8154","Tiruppur","3836","56","100","4346","3"
"271.45","1878","Zaragoza","1191","3","100","3493","4"
"857.41","650","Villavicencio","1059","504","100","1063","14"
"4324.77","530","Lima","6652","502","100","6668","6"
"21.24","1756","Edinburgh","88","2","100","2431","4"
"8.26","895","Buffalo","31","1","100","22463","2"
"425.07","532","Nashville","2257","1","100","5866","3"
"34530.84","775","Detroit","66134","1306","100","66847","3"
"7565.88","413","Kansas City","14639","72","100","14650","4"
"2070.39","655","Indianapolis","7759","23","100","21135","3"
"2012.24","1079","Asuncion","2786","380","100","2800","11"
"6200.19","6887","Mumbai","11975","1032","100","11994","8"
"3268.37","419","Omaha","6170","269","100","6170","5"
"582.08","1639","Seville","1349","48","100","2431","5"
"324.8","6660","Jalandhar","928","14","100","1350","5"
"781.81","13030","Adelaide","1887","69","100","2040","5"
"1236.61","9933","Dhaka","2669","172","100","3000","7"
"1741.84","7634","Payyanur","2463","454","100","2473","6"
"1192.52","2860","Berlin","2744","100","100","2888","5"
"851.47","3278","Cape Town","1409","188","100","1417","7"
"50.88","780","Raleigh","269","1","100","7186","2"
"829.37","3392","Sofia","1223","60","100","1224","5"
"2755.33","12749","Yuanlin City","4245","361","100","4267","5"
"4870.8","12748","New Taipei [Taipei]","20965","955","100","33111","8"
"49.21","3709","Pretoria","156","5","100","1453","6"
"1129.47","544","Pereira","1473","440","100","1475","13"
"25.55","666","Waukegan","192","1","100","13366","2"
"2199.36","2059","Barcelona","5995","216","100","9044","7"
"467.89","669","Lexington","2294","6","100","10072","3"
"649.21","429","Guayaquil","1031","166","100","1032","11"
"1060.71","8719","Puducherry","1617","61","100","1624","3"
"2125.59","12745","Taichung","3968","325","100","4367","5"
"550.32","12743","Hsinchu","1772","7","100","1966","4"
"1382.64","11536","Phnom Penh","1871","305","100","1874","6"
"6599.99","3280","Belgrade","14045","33","100","14315","5"
"13193.3","8733","Chennai","23223","3109","100","23938","7"
"525.19","3042","Zagreb","1455","31","100","1528","5"
"1534.02","8052","Hyderabad","4059","121","100","5379","5"
"7328.44","7086","Pune","11695","1582","100","11809","7"
"3022.39","4370","Jerusalem","3928","541","100","3970","7"
"10144.44","795","Cleveland","37053","293","100","46837","4"
"48.83","2503","Oslo","218","2","100","1419","4"
"5458.27","557","Minneapolis [Saint Paul]","18960","287","100","83516","4"
"216.03","2983","Stockholm","839","3","100","1876","4"
"5915.52","679","Milwaukee","20112","41","100","42276","3"
"41143.87","316","Houston","86041","2264","100","86896","7"
"928.95","3037","Vienna","1908","86","100","1931","5"
"54952.28","559","Miami","83801","9237","100","84504","9"
"3491.15","12754","Chiayi","6389","410","100","6515","6"
"1706.68","12755","Tainan","2576","307","100","2607","5"
"13335.52","13130","Brisbane","22581","2150","100","22746","12"
"837.21","11197","Kuala Lumpur","1607","129","100","1658","10"
"4115.01","7655","Kannur","5753","902","100","5870","8"
"26716.16","562","Atlanta","55901","599","100","56311","4"
"77.82","2757","Copenhagen","225","9","100","1507","4"
"1055.99","200","Monterrey","2274","109","100","2451","9"
"4476.01","322","San Salvador","9589","492","100","9815","10"
"6.25","685","Cincinnati","26","1","100","11250","2"
"2212.54","564","Medellín","2817","930","100","2832","13"
"3347.94","444","Memphis","5091","271","100","5096","5"
"7714.35","324","Dallas","32765","189","100","57508","6"
"11.18","1786","Manchester","37","1","100","6915","4"
"93.16","1663","Dublin","528","6","100","5651","4"
"1941.86","569","Manizales","2752","339","100","2767","12"
"14.51","207","Ogden","47","1","100","4091","3"
"812.23","7769","Kozhikode","1967","20","100","2225","4"
"67.68","3606","Tver","334","2","100","1030","2"
"216.74","6693","Ahmedabad","662","20","100","1429","5"
"813.76","7542","Mangaluru","1935","196","100","2355","8"
"6192.79","8070","Coimbatore","7840","1828","100","7865","7"
"85.17","571","Orlando","238","7","100","23057","5"
"59.09","1557","Lisbon","309","2","100","15149","4"
"753.89","2401","Basel","1404","65","100","1407","5"
"8190.5","459","Panama City","15100","962","100","15113","11"
"1027.68","7899","Lucknow","2175","68","100","2586","6"
"1131.71","219","Xalapa","1970","263","100","1972","10"
