"AVERAGE_NUMBER_OF_CHECKLISTS_REQUIRED","CITY_ID","CITY_NAME","MAX_NUMBER_OF_CHECKLISTS_REQUIRED","MIN_NUMBER_OF_CHECKLISTS_REQUIRED","NUMBER_OF_ATTEMPTS","TOTAL_CHECKLISTS_IN_CITY","TOTAL_PIGEONS_IN_CITY"
"10.24","1123","Ciudad del Este","42","1","100","4242","3"
"7.54","824","Pittsburgh","32","1","100","23669","2"
"3.41","12349","Sha Tin","13","1","100","1376","1"
"2.25","706","Dayton","10","1","100","6688","1"
"2.75","46","Fresno","14","1","100","4156","2"
"0.0","8331","Salem","0","0","100","7131","0"
"4.79","49","Sacramento","25","1","100","38368","2"
"5.51","3684","Johannesburg","19","1","100","3679","5"
"8.7","1022","Montreal","25","1","100","82955","2"
"8.32","1143","Montevideo","27","1","100","2198","5"
"8.44","2473","Zurich","43","1","100","1834","3"
"6.57","273","Denver","22","2","100","100890","3"
"9.19","394","San José","42","2","100","15764","5"
"6.39","274","Austin","22","1","100","48993","3"
"8.82","1812","Bournemouth","31","1","100","1008","3"
"9.26","155","Mexico City","32","1","100","12579","3"
"3.95","399","Baton Rouge","18","1","100","10205","2"
"3.62","950","New York","9","1","100","330715","2"
"2.52","1014","Providence","10","1","100","14714","1"
"2.05","711","Charlotte","11","1","100","5832","1"
"7.21","954","Brick","27","1","100","15277","2"
"5.6","955","Syracuse","24","1","100","8484","2"
"6.25","2907","Rome","34","1","100","1383","2"
"2.42","5734","Kuwait City","10","1","100","1545","2"
"2.3","839","London","9","1","100","14769","1"
"5.86","56","Indio","23","1","100","5270","3"
"3.99","13097","Sydney","19","1","100","25088","2"
"1.76","4783","Izhevsk","6","1","100","1127","1"
"1.49","7930","Mysuru","4","1","100","8107","1"
"2.07","3574","Istanbul","6","1","100","3260","1"
"12.44","289","Guatemala City","36","2","100","3351","5"
"4.21","1820","Pamplona","24","1","100","10280","2"
"5.55","1027","Boston","19","1","100","123214","2"
"1.58","3686","Moscow","6","1","100","2678","1"
"4.46","12445","Seoul","16","1","100","2868","2"
"3.72","1708","Madrid","12","1","100","14713","3"
"7.63","728","Cusco","25","1","100","1044","4"
"2.57","65","Hermosillo","8","1","100","1717","5"
"1.76","11000","George Town","6","1","100","1862","3"
"11.25","172","Boise","39","1","100","16902","3"
"13.21","1040","Cordoba","42","1","100","3131","5"
"2.7","730","Grand Rapids","9","1","100","15507","1"
"5.63","852","Virginia Beach","21","1","100","27207","2"
"8.08","734","Columbus","39","1","100","47906","2"
"7.64","855","Newport News","24","1","100","5032","2"
"5.77","977","Bridgeport","32","1","100","43810","2"
"1.85","7932","Kochi","5","1","100","32751","1"
"5.07","12333","Hong Kong","27","1","100","5320","1"
"5.21","74","Las Vegas","46","1","100","5370","3"
"2.02","1716","Glasgow","5","1","100","1050","2"
"8.29","1836","Newcastle upon Tyne","33","1","100","1857","3"
"2.66","1715","Granada","10","1","100","1283","3"
"1.42","8003","Palakkad","4","1","100","3991","1"
"6.71","79","Phoenix","25","1","100","61187","5"
"4.36","13076","Melbourne","17","1","100","60300","2"
"1.97","2144","Brussels","7","1","100","1078","2"
"5.58","1053","Quebec","22","1","100","45693","2"
"3.96","187","Vancouver","23","1","100","54239","1"
"9.09","860","Washington D.C.","63","1","100","176705","2"
"4.44","1602","Rabat","18","1","100","1912","3"
"4.47","3228","Warsaw","22","1","100","1089","2"
"5.06","862","Caracas","18","1","100","7917","2"
"12.51","501","Bradenton","56","1","100","52425","3"
"7.93","502","Tampa","24","1","100","64474","3"
"2.58","624","Bogota","10","1","100","6100","2"
"9.75","5767","Tehran","67","1","100","1550","2"
"1.98","627","Louisville","7","1","100","19851","1"
"8.24","628","Winnipeg","51","1","100","24473","1"
"7.24","84","Tucson","36","1","100","47498","4"
"4.3","7824","Guruvayur","18","1","100","2444","1"
"9.13","11699","Perth","57","1","100","10782","1"
"12.61","508","Cape Coral","38","2","100","6655","4"
"7.55","2937","Prague","29","1","100","7868","3"
"4.17","88","Guadalajara","14","1","100","1176","4"
"6.26","192","Provo","18","1","100","2694","2"
"4.98","193","Salt Lake City","21","1","100","24043","3"
"3.44","8010","Kollam","17","1","100","8642","1"
"5.43","196","Albuquerque","13","1","100","32973","4"
"2.43","870","Kitchener","13","1","100","12446","1"
"7.34","992","Port of Spain","31","1","100","1741","4"
"11.74","994","Ottawa","87","1","100","60631","2"
"5.14","514","Cali","22","1","100","3380","3"
"8.84","759","Toledo","43","1","100","5390","2"
"7.13","639","Chicago","29","1","100","221825","2"
"2.58","7714","Thalassery","13","1","100","1529","1"
"8.0","4328","Tel Aviv","39","1","100","5314","3"
"6.26","1858","Murcia","26","1","100","1530","3"
"1.29","6882","Vasai-Virar","5","1","100","1659","1"
"2.0","8145","Thiruvananthapuram","10","1","100","5353","1"
"7.55","7973","Nagpur","33","1","100","2084","2"
"7.09","3255","Helsinki","28","1","100","3375","2"
"1.13","7292","Jalgaon","2","1","100","1104","1"
"8.67","2285","Dortmund","45","1","100","2423","3"
"2.53","8021","Ettumanoor","13","1","100","3231","1"
"5.43","880","Toronto","18","1","100","133477","2"
"4.08","640","Joliet","24","1","100","1950","1"
"6.72","1744","Bilbao","36","1","100","1305","3"
"2.86","642","Madison","24","1","100","38421","1"
"3.78","885","Baltimore","15","1","100","30066","2"
"4.78","402","New Orleans","17","1","100","18205","2"
"4.53","889","La Serena","21","1","100","2032","3"
"3.89","6998","Delhi [New Delhi]","12","1","100","19011","3"
"4.73","405","Edmonton","31","1","100","21229","1"
"5.72","11554","Singapore","20","1","100","12023","3"
"3.73","12761","Kaohsiung","15","1","100","3931","2"
"6.69","8819","Kathmandu","40","1","100","1202","2"
"1.7","7969","Alappuzha","7","1","100","1162","1"
"2.08","13183","Auckland","10","1","100","6185","1"
"2.35","2176","Amsterdam","5","1","100","1769","2"
"1.56","2054","Paris","5","1","100","3720","2"
"1.9","7062","Dehradun","8","1","100","8810","1"
"2.44","8154","Tiruppur","11","1","100","4346","1"
"2.2","1878","Zaragoza","6","1","100","3493","3"
"4.29","650","Villavicencio","14","1","100","1063","3"
"5.55","530","Lima","19","1","100","6668","4"
"1.94","1756","Edinburgh","9","1","100","2431","2"
"6.84","895","Buffalo","24","1","100","22463","2"
"4.39","532","Nashville","14","1","100","5866","2"
"8.71","775","Detroit","84","1","100","66847","2"
"1.8","413","Kansas City","7","1","100","14650","1"
"2.2","655","Indianapolis","7","1","100","21135","1"
"3.51","1079","Asuncion","16","1","100","2800","4"
"1.66","6887","Mumbai","6","1","100","11994","1"
"2.73","419","Omaha","14","1","100","6170","1"
"2.66","1639","Seville","12","1","100","2431","2"
"3.92","6660","Jalandhar","18","1","100","1350","3"
"2.52","13030","Adelaide","10","1","100","2040","2"
"1.36","9933","Dhaka","4","1","100","3000","1"
"3.74","7634","Payyanur","18","1","100","2473","1"
"3.9","2860","Berlin","21","1","100","2888","2"
"7.76","3278","Cape Town","34","1","100","1417","4"
"2.56","780","Raleigh","10","1","100","7186","1"
"5.63","3392","Sofia","27","1","100","1224","2"
"1.68","12749","Yuanlin City","6","1","100","4267","1"
"6.1","12748","New Taipei [Taipei]","29","1","100","33111","3"
"6.89","3709","Pretoria","23","1","100","1453","4"
"5.3","544","Pereira","20","1","100","1475","3"
"2.24","666","Waukegan","15","1","100","13366","1"
"2.92","2059","Barcelona","10","1","100","9044","3"
"2.04","669","Lexington","8","1","100","10072","1"
"10.55","429","Guayaquil","36","2","100","1032","5"
"6.96","8719","Puducherry","43","1","100","1624","1"
"8.91","12745","Taichung","37","1","100","4367","2"
"6.04","12743","Hsinchu","23","1","100","1966","3"
"4.67","11536","Phnom Penh","16","1","100","1874","3"
"8.53","3280","Belgrade","49","1","100","14315","3"
"1.57","8733","Chennai","6","1","100","23938","1"
"5.17","3042","Zagreb","24","1","100","1528","3"
"1.33","8052","Hyderabad","3","1","100","5379","1"
"1.3","7086","Pune","4","1","100","11809","1"
"4.05","4370","Jerusalem","15","1","100","3970","2"
"2.59","795","Cleveland","11","1","100","46837","1"
"2.84","2503","Oslo","12","1","100","1419","2"
"5.39","557","Minneapolis [Saint Paul]","23","1","100","83516","1"
"4.97","2983","Stockholm","37","1","100","1876","2"
"3.12","679","Milwaukee","12","1","100","42276","1"
"10.0","316","Houston","46","1","100","86896","3"
"4.04","3037","Vienna","16","1","100","1931","2"
"9.29","559","Miami","32","2","100","84504","4"
"11.62","12754","Chiayi","38","1","100","6515","2"
"7.16","12755","Tainan","28","1","100","2607","2"
"9.58","13130","Brisbane","31","1","100","22746","3"
"4.42","11197","Kuala Lumpur","20","1","100","1658","3"
"2.17","7655","Kannur","8","1","100","5870","1"
"6.64","562","Atlanta","30","1","100","56311","2"
"3.42","2757","Copenhagen","16","1","100","1507","2"
"11.97","200","Monterrey","47","2","100","2451","4"
"4.61","322","San Salvador","11","1","100","9815","4"
"7.08","685","Cincinnati","38","1","100","11250","2"
"5.43","564","Medellín","16","1","100","2832","3"
"2.48","444","Memphis","11","1","100","5096","1"
"6.6","324","Dallas","28","1","100","57508","3"
"6.97","1786","Manchester","30","1","100","6915","3"
"8.03","1663","Dublin","49","1","100","5651","3"
"12.45","569","Manizales","33","2","100","2767","4"
"7.23","207","Ogden","31","1","100","4091","2"
"3.04","7769","Kozhikode","14","1","100","2225","1"
"1.26","3606","Tver","4","1","100","1030","1"
"1.83","6693","Ahmedabad","8","1","100","1429","2"
"8.33","7542","Mangaluru","40","1","100","2355","2"
"1.45","8070","Coimbatore","6","1","100","7865","1"
"2.14","571","Orlando","8","1","100","23057","1"
"4.73","1557","Lisbon","13","1","100","15149","3"
"6.57","2401","Basel","32","1","100","1407","3"
"3.98","459","Panama City","13","1","100","15113","3"
"1.37","7899","Lucknow","5","1","100","2586","1"
"9.82","219","Xalapa","61","1","100","1972","2"
